Date Difference,condition,color_encoded,Size,X1,X2,breed_category,pet_category
74.0,2.0,18,0.062240000000000004,13,9,0.0,1
1863.0,1.0,53,0.102168,13,9,0.0,2
752.0,1.0,15,0.06135,15,4,2.0,4
756.0,1.0,53,0.11048400000000001,0,1,0.0,2
52.0,2.0,2,0.0553,18,4,0.0,1
502.0,0.0,40,0.271952,0,7,1.0,2
155.0,2.0,18,0.056336000000000004,0,1,0.0,1
90.0,0.0,53,0.038220000000000004,7,1,1.0,1
300.0,2.0,15,0.019110000000000002,13,9,1.0,2
1123.0,2.0,15,0.11693000000000002,13,9,1.0,2
4412.0,0.0,52,0.06917999999999999,0,1,1.0,2
236.0,2.0,18,0.177408,16,9,1.0,1
823.0,1.0,2,0.06156000000000001,13,9,0.0,2
183.0,1.0,53,0.024255,13,9,0.0,2
94.0,0.0,21,0.146592,0,1,1.0,1
83.0,1.0,2,0.08829,13,9,0.0,1
229.0,1.0,40,0.43560000000000004,7,1,0.0,2
3673.0,1.0,2,0.137919,0,7,0.0,2
1491.0,2.0,16,0.29632400000000003,13,9,1.0,2
98.0,0.0,2,0.23356799999999997,0,1,1.0,1
3125.0,1.0,18,0.23766600000000002,0,1,0.0,1
203.0,1.0,15,0.063,11,4,2.0,4
72.0,0.0,53,0.4554,7,1,1.0,2
871.0,0.0,7,0.152024,13,9,1.0,2
2349.0,2.0,2,0.23220300000000002,13,9,0.0,2
387.0,1.0,2,0.29736000000000007,0,7,0.0,2
117.0,0.0,50,0.185818,0,1,1.0,1
2237.0,1.0,30,0.15654400000000002,0,7,0.0,2
389.0,1.0,27,0.137396,0,7,0.0,2
2773.0,0.0,52,0.151844,0,7,1.0,2
1126.0,1.0,20,0.04350400000000001,0,1,0.0,2
4771.0,1.0,53,0.29616,13,9,0.0,2
3227.0,0.0,2,0.18542199999999998,0,1,1.0,2
608.0,0.0,53,0.34610399999999997,0,1,1.0,1
392.0,2.0,53,0.077104,0,7,1.0,2
29.0,1.0,53,0.0065699999999999995,13,9,2.0,1
447.0,1.0,2,0.275184,13,9,0.0,2
87.0,0.0,49,0.115778,0,1,1.0,1
206.0,1.0,15,0.060006000000000004,0,6,2.0,4
2585.0,1.0,38,0.11592000000000001,0,7,0.0,1
418.0,1.0,52,0.364056,0,7,0.0,2
753.0,2.0,15,0.11791,13,9,1.0,4
795.0,0.0,2,0.08611,7,1,1.0,1
69.0,1.0,2,0.02432,9,2,2.0,1
242.0,0.0,7,0.02205,0,1,1.0,1
387.0,0.0,38,0.0689,16,9,1.0,1
131.0,1.0,2,0.203112,0,1,0.0,2
393.0,1.0,53,0.043596,0,8,0.0,2
1175.0,1.0,2,0.227476,13,9,0.0,1
754.0,0.0,2,0.004963,16,9,1.0,1
397.0,0.0,7,0.143787,0,1,1.0,2
3413.0,2.0,43,0.09185400000000002,0,7,0.0,2
770.0,0.0,53,0.057019,13,9,1.0,2
754.0,1.0,18,0.218592,18,4,2.0,1
1128.0,0.0,48,0.10304600000000001,0,7,1.0,2
1390.0,1.0,48,0.08771,0,7,0.0,2
757.0,1.0,15,0.23296000000000003,0,1,0.0,2
92.0,2.0,18,0.153582,18,4,0.0,1
392.0,0.0,48,0.018639000000000003,0,1,1.0,2
88.0,1.0,53,0.22096800000000003,7,1,0.0,1
721.0,1.0,2,0.149068,0,7,0.0,1
330.0,0.0,2,0.017308,0,1,1.0,2
391.0,1.0,38,0.12216999999999999,16,9,0.0,1
762.0,0.0,7,0.04425,0,1,1.0,2
96.0,2.0,18,0.258566,9,2,0.0,1
3120.0,0.0,18,0.152086,0,1,1.0,1
1851.0,0.0,52,0.07164,0,7,1.0,2
753.0,1.0,40,0.194922,15,4,2.0,4
1118.0,1.0,2,0.097248,0,7,0.0,1
1120.0,2.0,2,0.310944,0,3,0.0,1
27.0,1.0,18,0.05542000000000001,13,9,2.0,1
2943.0,2.0,20,0.08856,18,4,0.0,1
775.0,1.0,13,0.231768,0,1,0.0,2
2944.0,0.0,2,0.086508,0,7,1.0,2
390.0,0.0,53,0.003099,0,1,1.0,2
1082.0,0.0,15,0.09268000000000001,7,1,1.0,2
91.0,0.0,38,0.128018,0,1,1.0,1
1139.0,1.0,15,0.16087500000000002,0,1,0.0,2
203.0,1.0,40,0.05509499999999999,12,1,2.0,0
756.0,2.0,52,0.228416,13,9,1.0,2
769.0,1.0,38,0.08757,0,1,0.0,1
